Time,VAS,VVS,NID,CA,NAE,PRP,IFP,VG,CNA,VTS,HM,AUH,POT,ARM,CPP,PVS,BFN,BFM,PA,QLO,AU,STH2NID,VP,VB,RBF,RFN,TVD,NOD,VGD,NID2,HR,SVO,AAR,EVR,GFR,RSM,RVG,DLP,AUM,RR,GLP,PFL,VUD,VAE,RSN,QAO,VIF,VEC,VTW
1,0.85188,3.2606,0.1,0.00355,2130,210,12,11.399,141.89,11.999,40,0.99861,7.9928,0.96573,69.992,3.7635,2.8263,1.0176,100.53,5.0565,0.99538,1,3.0003,5.0003,1.2096,1.2096,0.00083451,0.16428,-0.00075417,0.1,71.995,0.070234,31.497,51.61,0.12834,95.096,0.72751,0.0070535,0.99607,83.107,62.43,16.433,0.0016486,0.35688,34.237,5.0535,0.59934,15.011,40.012
1441,0.8499,3.27,0.1,0.00355,2130.9,209.38,12.032,11.387,142.09,11.983,40,1.0007,7.9988,0.93664,69.781,3.7729,2.8604,1.0108,99.972,5.0708,1.0024,1,3.0006,5.0007,1.1997,1.1997,0.0010079,0.10019,3.2223e-06,0.1,72.281,0.070154,31.721,51.61,0.12499,95.175,0.7257,0.0071528,1.002,83.331,61.916,16.004,0.00099638,0.3549,33.632,5.0708,0.59669,14.996,39.98
2881,0.84984,3.2701,0.1,0.00355,2130.5,209.36,12.037,11.388,142.05,11.985,40,1.0005,7.9991,0.93583,69.775,3.7726,2.8601,1.0103,99.954,5.07,1.0016,1,3.0005,5.0007,1.1997,1.1997,0.0010055,0.10025,1.562e-07,0.1,72.252,0.070171,31.708,51.61,0.125,95.205,0.72576,0.0071559,1.0014,83.318,61.915,16.005,0.0010023,0.35484,33.629,5.07,0.59673,14.998,39.989
4321,0.84978,3.2702,0.1,0.00355,2130.2,209.39,12.048,11.388,142.03,11.985,40,1.0004,7.9992,0.93546,69.784,3.7724,2.8599,1.01,99.937,5.0697,1.0013,1,3.0005,5.0007,1.1997,1.1997,0.0010039,0.10012,-9.1886e-08,0.1,72.237,0.070181,31.689,51.61,0.125,95.209,0.72579,0.0071515,1.0011,83.299,61.919,16.005,0.001003,0.35478,33.625,5.0697,0.59665,14.998,39.992
5761,0.84973,3.2702,0.1,0.00355,2130.1,209.42,12.058,11.388,142.03,11.985,40,1.0003,7.9994,0.93542,69.794,3.7724,2.8597,1.01,99.924,5.0695,1.001,1,3.0005,5.0007,1.1998,1.1998,0.0010033,0.10005,-1.0245e-07,0.1,72.224,0.070192,31.673,51.61,0.125,95.203,0.7258,0.0071469,1.0008,83.283,61.922,16.005,0.0010031,0.35473,33.622,5.0695,0.59657,14.998,39.993
7201,0.8497,3.2703,0.1,0.00355,2130.1,209.45,12.068,11.388,142.03,11.984,40,1.0002,7.9995,0.93552,69.804,3.7724,2.8596,1.01,99.915,5.0695,1.0007,1,3.0005,5.0008,1.1999,1.1999,0.0010031,0.10003,-9.2628e-08,0.1,72.213,0.070202,31.661,51.61,0.125,95.194,0.7258,0.0071422,1.0006,83.27,61.926,16.005,0.0010031,0.3547,33.621,5.0695,0.59649,14.997,39.993
8641,0.84968,3.2704,0.1,0.00355,2130,209.48,12.077,11.388,142.03,11.984,40,1.0001,7.9995,0.93568,69.814,3.7724,2.8595,1.01,99.909,5.0695,1.0004,1,3.0005,5.0009,1.2,1.2,0.001003,0.10002,-8.205e-08,0.1,72.204,0.070211,31.65,51.61,0.12499,95.185,0.72579,0.0071375,1.0004,83.26,61.93,16.004,0.0010031,0.35468,33.62,5.0695,0.59643,14.997,39.993
10081,0.84967,3.2704,0.1,0.00355,2130,209.51,12.086,11.388,142.03,11.984,40,1.0001,7.9996,0.93585,69.824,3.7725,2.8594,1.01,99.906,5.0695,1.0003,1,3.0006,5.0009,1.2,1.2,0.0010029,0.10001,-7.2742e-08,0.1,72.196,0.070219,31.643,51.61,0.12499,95.177,0.72579,0.0071328,1.0002,83.253,61.934,16.004,0.001003,0.35467,33.62,5.0695,0.59636,14.997,39.992
11521,0.84966,3.2704,0.1,0.00355,2130,209.54,12.095,11.388,142.03,11.984,40,1,7.9997,0.93604,69.834,3.7725,2.8594,1.0101,99.905,5.0696,1.0001,1,3.0006,5.001,1.2001,1.2001,0.0010028,0.10001,-6.4828e-08,0.1,72.19,0.070226,31.636,51.61,0.12499,95.171,0.72578,0.0071281,1.0001,83.246,61.938,16.004,0.0010029,0.35466,33.62,5.0696,0.59631,14.997,39.992
12961,0.84967,3.2705,0.1,0.00355,2130,209.58,12.103,11.388,142.03,11.984,40,1,7.9997,0.93622,69.844,3.7725,2.8593,1.0102,99.906,5.0697,0.99999,1,3.0007,5.001,1.2002,1.2002,0.0010028,0.10001,-6.2716e-08,0.1,72.186,0.070231,31.632,51.61,0.12499,95.166,0.72577,0.0071235,0.99999,83.242,61.942,16.004,0.0010028,0.35467,33.621,5.0697,0.59626,14.997,39.992
