Time,VAS,VVS,NID,CA,NAE,PRP,IFP,VG,CNA,VTS,HM,AUH,ARM,CPP,PVS,BFN,BFM,PA,QLO,AU,VP,VB,RBF,RFN,TVD,NOD,HR,SVO,AAR,EVR,GFR,RSM,RVG,DLP,AUM,RR,GLP,PFL,VUD,VAE,RSN,QAO,VIF,VEC,VTW
1,0.85188,3.2606,0.1,0.00355,2130,210,12,11.399,141.89,11.999,40,0.99861,0.96573,69.992,3.7635,2.8263,1.0176,100.53,5.0565,0.99538,3.0003,5.0003,1.2096,1.2096,0.00083455,0.16429,71.995,0.070234,31.497,51.61,0.12834,95.096,0.72751,0.0070535,0.99607,83.107,62.43,16.433,0.0016486,0.35688,34.237,5.0535,0.59934,15.011,40.012
1441,0.84994,3.2701,0.1,0.00355,2130.9,209.38,12.032,11.387,142.09,11.983,40,1.0006,0.93731,69.777,3.7731,2.8602,1.011,99.984,5.0709,1.002,3.0008,5.0009,1.1997,1.1997,0.001012,0.10061,72.267,0.070169,31.73,51.61,0.12501,95.166,0.72567,0.0071548,1.0017,83.34,61.917,16.006,0.0010002,0.35494,33.637,5.0709,0.59666,14.997,39.98
2881,0.84989,3.2702,0.1,0.00355,2130.5,209.37,12.037,11.388,142.05,11.985,40,1.0004,0.93637,69.772,3.7727,2.86,1.0105,99.969,5.0701,1.0014,3.0007,5.0009,1.1997,1.1997,0.0010085,0.10059,72.244,0.07018,31.718,51.61,0.12502,95.2,0.72573,0.007157,1.0012,83.328,61.916,16.007,0.0010053,0.35489,33.635,5.0701,0.59671,14.998,39.989
4321,0.84983,3.2702,0.1,0.00355,2130.3,209.39,12.047,11.388,142.04,11.985,40,1.0003,0.93594,69.783,3.7726,2.8598,1.0102,99.953,5.0698,1.0012,3.0006,5.0008,1.1998,1.1998,0.0010065,0.10041,72.233,0.070188,31.701,51.61,0.12501,95.207,0.72576,0.0071522,1.001,83.311,61.92,16.007,0.0010055,0.35483,33.631,5.0698,0.59664,14.998,39.992
5761,0.84979,3.2703,0.1,0.00355,2130.1,209.42,12.058,11.388,142.03,11.985,40,1.0003,0.93585,69.793,3.7725,2.8597,1.0101,99.94,5.0697,1.0009,3.0006,5.0009,1.1998,1.1998,0.0010055,0.1003,72.222,0.070196,31.685,51.61,0.12501,95.202,0.72577,0.0071471,1.0008,83.295,61.923,16.006,0.0010053,0.35479,33.628,5.0697,0.59657,14.998,39.993
7201,0.84976,3.2703,0.1,0.00355,2130.1,209.46,12.068,11.388,142.03,11.984,40,1.0002,0.9359,69.804,3.7725,2.8596,1.0101,99.931,5.0697,1.0007,3.0006,5.0009,1.1999,1.1999,0.001005,0.10024,72.212,0.070205,31.672,51.61,0.12501,95.195,0.72578,0.0071422,1.0006,83.282,61.927,16.006,0.001005,0.35476,33.626,5.0697,0.5965,14.998,39.993
8641,0.84973,3.2704,0.1,0.00355,2130,209.49,12.077,11.388,142.03,11.984,40,1.0001,0.93601,69.814,3.7725,2.8595,1.0101,99.925,5.0697,1.0005,3.0006,5.0009,1.2,1.2,0.0010046,0.1002,72.204,0.070213,31.662,51.61,0.125,95.187,0.72577,0.0071374,1.0004,83.272,61.931,16.006,0.0010047,0.35473,33.625,5.0697,0.59643,14.997,39.993
10081,0.84972,3.2704,0.1,0.00355,2130,209.52,12.086,11.388,142.03,11.984,40,1.0001,0.93615,69.824,3.7725,2.8595,1.0102,99.921,5.0697,1.0003,3.0007,5.001,1.2001,1.2001,0.0010043,0.10017,72.198,0.07022,31.654,51.61,0.125,95.18,0.72577,0.0071325,1.0002,83.263,61.935,16.005,0.0010044,0.35472,33.625,5.0697,0.59637,14.997,39.993
11521,0.84971,3.2704,0.1,0.00355,2130,209.55,12.095,11.388,142.03,11.984,40,1,0.9363,69.835,3.7726,2.8594,1.0102,99.919,5.0698,1.0002,3.0007,5.001,1.2001,1.2001,0.001004,0.10015,72.192,0.070226,31.647,51.61,0.125,95.174,0.72577,0.0071278,1.0001,83.257,61.939,16.005,0.0010041,0.35471,33.625,5.0698,0.59631,14.997,39.992
12961,0.84971,3.2705,0.1,0.00355,2130,209.58,12.103,11.388,142.03,11.984,40,1,0.93645,69.845,3.7726,2.8594,1.0103,99.919,5.0699,1,3.0007,5.0011,1.2002,1.2002,0.0010038,0.10013,72.188,0.070231,31.641,51.61,0.125,95.169,0.72576,0.0071231,1,83.251,61.943,16.005,0.0010039,0.35471,33.625,5.0699,0.59626,14.997,39.992
14401,0.84972,3.2705,0.1,0.00355,2130,209.62,12.111,11.387,142.03,11.984,40,0.99999,0.93661,69.854,3.7726,2.8593,1.0103,99.92,5.0699,0.99996,3.0008,5.0011,1.2003,1.2003,0.0010036,0.10012,72.185,0.070236,31.637,51.61,0.125,95.165,0.72575,0.0071185,0.99997,83.247,61.947,16.005,0.0010037,0.35472,33.626,5.0699,0.59621,14.997,39.992
15841,0.84972,3.2705,0.1,0.00355,2130,209.65,12.119,11.387,142.03,11.984,40,0.99997,0.93677,69.864,3.7727,2.8593,1.0104,99.922,5.07,0.99989,3.0008,5.0012,1.2004,1.2004,0.0010034,0.10011,72.182,0.07024,31.633,51.61,0.125,95.161,0.72575,0.007114,0.99991,83.243,61.951,16.005,0.0010034,0.35472,33.627,5.07,0.59617,14.997,39.992
17281,0.84973,3.2705,0.1,0.00355,2130,209.68,12.127,11.387,142.03,11.983,40,0.99995,0.93693,69.873,3.7727,2.8593,1.0104,99.925,5.0702,0.99984,3.0008,5.0012,1.2004,1.2004,0.0010032,0.1001,72.18,0.070243,31.631,51.61,0.125,95.158,0.72574,0.0071096,0.99986,83.241,61.954,16.005,0.0010032,0.35473,33.628,5.0702,0.59613,14.997,39.992
18721,0.84974,3.2705,0.1,0.00355,2129.9,209.71,12.134,11.387,142.03,11.983,40,0.99994,0.93708,69.882,3.7727,2.8593,1.0105,99.928,5.0703,0.9998,3.0009,5.0013,1.2005,1.2005,0.001003,0.10009,72.178,0.070247,31.629,51.61,0.125,95.156,0.72574,0.0071053,0.99983,83.239,61.958,16.005,0.0010031,0.35474,33.629,5.0703,0.59609,14.997,39.992
20161,0.84976,3.2706,0.1,0.00355,2129.9,209.74,12.141,11.387,142.03,11.983,40,0.99993,0.93724,69.891,3.7727,2.8592,1.0106,99.932,5.0704,0.99977,3.0009,5.0013,1.2006,1.2006,0.0010029,0.10009,72.177,0.07025,31.627,51.61,0.125,95.154,0.72573,0.0071012,0.9998,83.237,61.961,16.005,0.0010029,0.35476,33.631,5.0704,0.59605,14.997,39.992
21601,0.84977,3.2706,0.1,0.00355,2129.9,209.76,12.147,11.387,142.03,11.983,40,0.99992,0.93739,69.9,3.7728,2.8592,1.0106,99.936,5.0705,0.99974,3.0009,5.0014,1.2006,1.2006,0.0010027,0.10008,72.176,0.070252,31.626,51.61,0.125,95.152,0.72573,0.0070972,0.99978,83.236,61.965,16.005,0.0010027,0.35477,33.632,5.0705,0.59602,14.997,39.992
23041,0.84979,3.2706,0.1,0.00355,2129.9,209.79,12.154,11.387,142.03,11.983,40,0.99992,0.93754,69.908,3.7728,2.8592,1.0107,99.94,5.0706,0.99972,3.0009,5.0014,1.2007,1.2007,0.0010025,0.10008,72.175,0.070255,31.625,51.61,0.125,95.151,0.72572,0.0070933,0.99977,83.235,61.968,16.005,0.0010026,0.35479,33.634,5.0706,0.59599,14.997,39.992
24481,0.8498,3.2706,0.1,0.00355,2129.9,209.82,12.16,11.387,142.03,11.983,40,0.99991,0.93769,69.916,3.7728,2.8592,1.0107,99.945,5.0707,0.99971,3.001,5.0014,1.2008,1.2008,0.0010024,0.10008,72.174,0.070257,31.625,51.61,0.125,95.149,0.72572,0.0070896,0.99976,83.235,61.971,16.005,0.0010024,0.3548,33.636,5.0707,0.59595,14.997,39.992
25921,0.84982,3.2706,0.1,0.00355,2129.9,209.84,12.166,11.387,142.03,11.983,40,0.99991,0.93783,69.923,3.7729,2.8592,1.0108,99.949,5.0708,0.99971,3.001,5.0015,1.2008,1.2008,0.0010023,0.10007,72.174,0.070259,31.624,51.61,0.125,95.148,0.72571,0.007086,0.99975,83.234,61.974,16.005,0.0010023,0.35482,33.637,5.0708,0.59592,14.996,39.992
27361,0.84984,3.2706,0.1,0.00355,2129.9,209.86,12.171,11.387,142.03,11.983,40,0.99991,0.93796,69.931,3.7729,2.8592,1.0109,99.954,5.071,0.9997,3.001,5.0015,1.2009,1.2009,0.0010021,0.10007,72.174,0.07026,31.624,51.61,0.125,95.147,0.72571,0.0070825,0.99975,83.234,61.977,16.005,0.0010022,0.35484,33.639,5.071,0.5959,14.996,39.992
28801,0.84985,3.2706,0.1,0.00355,2129.9,209.89,12.177,11.387,142.03,11.983,40,0.99991,0.9381,69.938,3.7729,2.8592,1.0109,99.959,5.0711,0.9997,3.0011,5.0015,1.2009,1.2009,0.001002,0.10007,72.174,0.070262,31.624,51.61,0.125,95.147,0.7257,0.0070791,0.99975,83.234,61.98,16.005,0.0010021,0.35485,33.641,5.0711,0.59587,14.996,39.991
30241,0.84987,3.2706,0.1,0.00355,2129.9,209.91,12.182,11.387,142.03,11.983,40,0.99991,0.93823,69.945,3.7729,2.8592,1.011,99.963,5.0712,0.9997,3.0011,5.0016,1.201,1.201,0.0010019,0.10007,72.174,0.070264,31.624,51.61,0.125,95.146,0.7257,0.0070759,0.99975,83.234,61.983,16.005,0.0010019,0.35487,33.642,5.0712,0.59585,14.996,39.991
31681,0.84989,3.2706,0.1,0.00355,2129.9,209.93,12.187,11.387,142.03,11.983,40,0.99991,0.93835,69.951,3.7729,2.8592,1.011,99.968,5.0713,0.99971,3.0011,5.0016,1.201,1.201,0.0010018,0.10007,72.174,0.070265,31.625,51.61,0.125,95.145,0.72569,0.0070728,0.99975,83.235,61.985,16.005,0.0010018,0.35489,33.644,5.0713,0.59582,14.996,39.991
