Time,NID,NAE,CNA,PA,QLO,VP,VTS,VB,TVD,NOD,HR,QAO,VEC,VTW
1.1411,0.1,2130,141.89,100.54,5.0383,3.0007,11.998,5.0007,0.00081827,0.14698,71.672,5.0406,15.011,40.012
1.1411,0.1,2130,141.89,100.54,5.0383,3.0007,11.998,5.0007,0.00081827,0.14698,71.672,5.0406,15.011,40.012
1.1411,0.1,2130,141.89,100.54,5.0383,3.0007,11.998,5.0007,0.00081827,0.14698,71.672,5.0406,15.011,40.012
1.1411,0.1,2130,141.89,100.54,5.0383,3.0007,11.998,5.0007,0.00081827,0.14698,71.672,5.0406,15.011,40.012
1.1411,0.1,2130,141.89,100.54,5.0383,3.0007,11.998,5.0007,0.00081827,0.14698,71.672,5.0406,15.011,40.012
1.1411,0.1,2130,141.89,100.54,5.0383,3.0007,11.998,5.0007,0.00081827,0.14698,71.672,5.0406,15.011,40.012
1.1411,0.1,2130,141.89,100.54,5.0383,3.0007,11.998,5.0007,0.00081827,0.14698,71.672,5.0406,15.011,40.012
1.1411,0.1,2130,141.89,100.54,5.0383,3.0007,11.998,5.0007,0.00081827,0.14698,71.672,5.0406,15.011,40.012
1.1411,0.1,2130,141.89,100.54,5.0383,3.0007,11.998,5.0007,0.00081827,0.14698,71.672,5.0406,15.011,40.012
1.1411,0.1,2130,141.89,100.54,5.0383,3.0007,11.998,5.0007,0.00081827,0.14698,71.672,5.0406,15.011,40.012
1.1411,0.1,2130,141.89,100.54,5.0383,3.0007,11.998,5.0007,0.00081827,0.14698,71.672,5.0406,15.011,40.012
1.1411,0.1,2130,141.89,100.54,5.0383,3.0007,11.998,5.0007,0.00081827,0.14698,71.672,5.0406,15.011,40.012
1.1411,0.1,2130,141.89,100.54,5.0383,3.0007,11.998,5.0007,0.00081827,0.14698,71.672,5.0406,15.011,40.012
1.1411,0.1,2130,141.89,100.54,5.0383,3.0007,11.998,5.0007,0.00081827,0.14698,71.672,5.0406,15.011,40.012
1.1411,0.1,2130,141.89,100.54,5.0383,3.0007,11.998,5.0007,0.00081827,0.14698,71.672,5.0406,15.011,40.012
1.1411,0.1,2130,141.89,100.54,5.0383,3.0007,11.998,5.0007,0.00081827,0.14698,71.672,5.0406,15.011,40.012
1.1411,0.1,2130,141.89,100.54,5.0383,3.0007,11.998,5.0007,0.00081827,0.14698,71.672,5.0406,15.011,40.012
1.1411,0.1,2130,141.89,100.54,5.0383,3.0007,11.998,5.0007,0.00081827,0.14698,71.672,5.0406,15.011,40.012
1.1412,0.1,2130,141.89,100.54,5.0383,3.0007,11.998,5.0007,0.00081826,0.14696,71.672,5.0406,15.011,40.012
1.1417,0.1,2130,141.89,100.54,5.0382,3.0007,11.998,5.0007,0.00081821,0.14687,71.671,5.0406,15.011,40.012
1.1439,0.1,2130,141.89,100.54,5.0381,3.0007,11.998,5.0007,0.00081795,0.14644,71.669,5.0405,15.011,40.012
1.1549,0.1,2130,141.9,100.53,5.0377,3.0007,11.998,5.0007,0.00081669,0.1442,71.656,5.0405,15.011,40.012
1.2047,0.1,2130,141.9,100.48,5.0377,3.0008,11.998,5.0008,0.00081094,0.13317,71.619,5.0418,15.011,40.012
1.2546,0.1,2130,141.9,100.42,5.0406,3.001,11.997,5.001,0.00080518,0.1212,71.617,5.0456,15.011,40.012
1.3044,0.1,2130,141.9,100.34,5.0459,3.0011,11.997,5.0011,0.00079939,0.10911,71.646,5.0514,15.011,40.012
1.3704,0.1,2130,141.9,100.24,5.0561,3.0013,11.997,5.0013,0.00079167,0.094278,71.725,5.0616,15.011,40.012
1.469,0.1,2130,141.9,100.1,5.075,3.0014,11.997,5.0014,0.00078005,0.077799,71.894,5.0793,15.011,40.012
1.5317,0.1,2130,141.9,100.04,5.0875,3.0014,11.997,5.0014,0.00077261,0.072286,72.012,5.0903,15.011,40.012
1.5945,0.1,2130,141.9,100,5.0987,3.0014,11.997,5.0014,0.00076516,0.071246,72.119,5.0998,15.011,40.012
1.6572,0.1,2130,141.9,99.999,5.1075,3.0014,11.997,5.0014,0.00075773,0.074568,72.202,5.1067,15.011,40.012
1.72,0.1,2130,141.9,100.03,5.1131,3.0014,11.997,5.0014,0.00075036,0.081591,72.25,5.1107,15.01,40.012
1.7857,0.1,2130,141.9,100.09,5.1152,3.0013,11.997,5.0013,0.00074276,0.091752,72.259,5.1114,15.01,40.012
1.826,0.1,2130,141.9,100.13,5.1146,3.0013,11.997,5.0013,0.00073815,0.098731,72.243,5.1102,15.01,40.012
1.826,0.1,2130,141.9,100.13,5.1146,3.0013,11.997,5.0013,0.00073815,0.098731,72.243,5.1102,15.01,40.012
1.826,0.1,2130,141.9,100.13,5.1146,3.0013,11.997,5.0013,0.00073815,0.098731,72.243,5.1102,15.01,40.012
1.8917,0.1,2130,141.9,100.22,5.1108,3.0012,11.997,5.0012,0.00073072,0.11023,72.184,5.106,15.01,40.012
1.9329,0.1,2130,141.9,100.27,5.107,3.0012,11.996,5.0012,0.00072614,0.11699,72.131,5.1022,15.01,40.012
2.0325,0.1,2130,141.9,100.39,5.0953,3.0012,11.996,5.0012,0.0007153,0.12973,71.971,5.0914,15.01,40.012
2.1321,0.1,2130,141.91,100.48,5.083,3.0013,11.996,5.0013,0.00070476,0.13568,71.801,5.0807,15.01,40.012
2.2048,0.1,2130,141.91,100.51,5.0755,3.0014,11.996,5.0014,0.00069723,0.13535,71.693,5.0747,15.01,40.012
2.2776,0.1,2130,141.91,100.51,5.0705,3.0015,11.996,5.0015,0.0006898,0.13148,71.613,5.0709,15.01,40.012
2.2819,0.1,2130,141.91,100.51,5.0703,3.0015,11.996,5.0015,0.00068936,0.13115,71.609,5.0708,15.01,40.012
2.2819,0.1,2130,141.91,100.51,5.0703,3.0015,11.996,5.0015,0.00068936,0.13115,71.609,5.0708,15.01,40.012
2.2819,0.1,2130,141.91,100.51,5.0703,3.0015,11.996,5.0015,0.00068936,0.13115,71.609,5.0708,15.01,40.012
2.2819,0.1,2130,141.91,100.51,5.0703,3.0015,11.996,5.0015,0.00068936,0.13115,71.609,5.0708,15.01,40.012
2.2819,0.1,2130,141.91,100.51,5.0703,3.0015,11.996,5.0015,0.00068936,0.13115,71.609,5.0708,15.01,40.012
2.2819,0.1,2130,141.91,100.51,5.0703,3.0015,11.996,5.0015,0.00068936,0.13115,71.609,5.0708,15.01,40.012
2.2819,0.1,2130,141.91,100.51,5.0703,3.0015,11.996,5.0015,0.00068936,0.13115,71.609,5.0708,15.01,40.012
2.2819,0.1,2130,141.91,100.51,5.0703,3.0015,11.996,5.0015,0.00068936,0.13115,71.609,5.0708,15.01,40.012
2.2819,0.1,2130,141.91,100.51,5.0703,3.0015,11.996,5.0015,0.00068936,0.13115,71.609,5.0708,15.01,40.012
2.2819,0.1,2130,141.91,100.51,5.0703,3.0015,11.996,5.0015,0.00068936,0.13115,71.609,5.0708,15.01,40.012
2.2819,0.1,2130,141.91,100.51,5.0703,3.0015,11.996,5.0015,0.00068936,0.13115,71.609,5.0708,15.01,40.012
2.2819,0.1,2130,141.91,100.51,5.0703,3.0015,11.996,5.0015,0.00068936,0.13115,71.609,5.0708,15.01,40.012
2.2819,0.1,2130,141.91,100.51,5.0703,3.0015,11.996,5.0015,0.00068936,0.13115,71.609,5.0708,15.01,40.012
2.2819,0.1,2130,141.91,100.51,5.0703,3.0015,11.996,5.0015,0.00068936,0.13115,71.609,5.0708,15.01,40.012
2.2819,0.1,2130,141.91,100.51,5.0703,3.0015,11.996,5.0015,0.00068936,0.13115,71.609,5.0708,15.01,40.012
2.2819,0.1,2130,141.91,100.51,5.0703,3.0015,11.996,5.0015,0.00068936,0.13115,71.609,5.0708,15.01,40.012
2.282,0.1,2130,141.91,100.51,5.0702,3.0015,11.996,5.0015,0.00068936,0.13115,71.609,5.0708,15.01,40.012
2.282,0.1,2130,141.91,100.51,5.0702,3.0015,11.996,5.0015,0.00068935,0.13115,71.609,5.0708,15.01,40.012
2.2822,0.1,2130,141.91,100.51,5.0702,3.0015,11.996,5.0015,0.00068933,0.13113,71.609,5.0708,15.01,40.012
2.283,0.1,2130,141.91,100.51,5.0702,3.0015,11.996,5.0015,0.00068925,0.13107,71.608,5.0708,15.01,40.012
2.2874,0.1,2130,141.91,100.51,5.07,3.0015,11.996,5.0015,0.00068881,0.13073,71.604,5.0706,15.01,40.012
2.309,0.1,2130,141.91,100.51,5.0692,3.0015,11.996,5.0015,0.00068661,0.12893,71.588,5.0702,15.01,40.012
2.3772,0.1,2130,141.91,100.48,5.0683,3.0017,11.995,5.0017,0.00067974,0.12217,71.558,5.0702,15.01,40.012
2.4453,0.1,2130,141.91,100.44,5.0699,3.0018,11.995,5.0018,0.00067291,0.11446,71.557,5.0724,15.01,40.012
2.5291,0.1,2130,141.91,100.37,5.0747,3.0019,11.995,5.0019,0.00066454,0.10525,71.592,5.0774,15.009,40.012
2.6459,0.1,2130,141.91,100.3,5.0845,3.002,11.995,5.002,0.00065292,0.095739,71.68,5.0865,15.009,40.012
2.7628,0.1,2130,141.91,100.25,5.0943,3.0021,11.995,5.0021,0.00064139,0.092517,71.775,5.095,15.009,40.012
